,kepid,koi_disposition
0,757450,CONFIRMED
1,892772,FALSE POSITIVE
3,1026032,FALSE POSITIVE
4,1026957,CONFIRMED
5,1027438,FALSE POSITIVE
6,1161345,CONFIRMED
7,1161949,FALSE POSITIVE
9,1293031,FALSE POSITIVE
10,1293046,FALSE POSITIVE
12,1297263,FALSE POSITIVE
14,1430305,FALSE POSITIVE
16,1432214,FALSE POSITIVE
17,1432789,CONFIRMED
18,1433531,FALSE POSITIVE
19,1433962,FALSE POSITIVE
20,1433980,FALSE POSITIVE
21,1434395,FALSE POSITIVE
22,1571511,FALSE POSITIVE
23,1572948,FALSE POSITIVE
24,1575690,FALSE POSITIVE
25,1575873,FALSE POSITIVE
26,1717528,FALSE POSITIVE
28,1718189,CONFIRMED
29,1718958,CONFIRMED
31,1722276,FALSE POSITIVE
33,1724513,FALSE POSITIVE
34,1724719,CONFIRMED
35,1725016,CONFIRMED
36,1725193,FALSE POSITIVE
37,1725415,FALSE POSITIVE
38,1849702,CONFIRMED
39,1865042,CONFIRMED
41,1868404,FALSE POSITIVE
42,1870398,FALSE POSITIVE
43,1871056,CONFIRMED
45,1872821,CONFIRMED
46,1873513,CONFIRMED
47,1995519,CONFIRMED
48,1995712,FALSE POSITIVE
49,1995732,FALSE POSITIVE
50,1996180,CONFIRMED
51,1996399,FALSE POSITIVE
52,1996679,FALSE POSITIVE
53,2010152,FALSE POSITIVE
54,2010191,FALSE POSITIVE
55,2010607,FALSE POSITIVE
56,2012722,FALSE POSITIVE
57,2013883,FALSE POSITIVE
58,2014991,FALSE POSITIVE
59,2015013,FALSE POSITIVE
60,2019076,FALSE POSITIVE
63,2021440,FALSE POSITIVE
64,2140389,FALSE POSITIVE
65,2141783,FALSE POSITIVE
66,2142501,FALSE POSITIVE
67,2142522,CONFIRMED
68,2157247,FALSE POSITIVE
70,2161536,CONFIRMED
71,2161623,FALSE POSITIVE
74,2162994,FALSE POSITIVE
75,2163226,FALSE POSITIVE
76,2164169,CONFIRMED
77,2165002,CONFIRMED
78,2165352,FALSE POSITIVE
79,2166200,FALSE POSITIVE
80,2166206,FALSE POSITIVE
81,2167444,FALSE POSITIVE
82,2167890,FALSE POSITIVE
87,2302548,CONFIRMED
88,2302758,FALSE POSITIVE
91,2304320,CONFIRMED
92,2305255,FALSE POSITIVE
93,2305311,FALSE POSITIVE
94,2305372,FALSE POSITIVE
95,2305543,FALSE POSITIVE
96,2305819,FALSE POSITIVE
98,2306740,FALSE POSITIVE
99,2306756,FALSE POSITIVE
101,2307206,FALSE POSITIVE
102,2307415,CONFIRMED
103,2308411,FALSE POSITIVE
104,2308957,FALSE POSITIVE
105,2309585,FALSE POSITIVE
106,2309587,FALSE POSITIVE
107,2309719,FALSE POSITIVE
108,2309910,FALSE POSITIVE
111,2436378,FALSE POSITIVE
112,2437060,FALSE POSITIVE
113,2437112,FALSE POSITIVE
114,2437149,FALSE POSITIVE
115,2437209,FALSE POSITIVE
116,2437452,FALSE POSITIVE
117,2437488,FALSE POSITIVE
120,2437783,FALSE POSITIVE
121,2437804,FALSE POSITIVE
122,2437897,FALSE POSITIVE
123,2438061,FALSE POSITIVE
