kepid,koi_disposition,maxFlux,minFlux,meanFlux,p2pFlux,varianceFlux
2438406,FALSE POSITIVE,1.000688621,0.99943983,1.000018151,0.001248791,3.74E-08
2438490,FALSE POSITIVE,1.012453575,0.973776358,0.997800545,0.038677218,4.88E-05
2438502,FALSE POSITIVE,1.00305903,0.986258133,0.999362761,0.016800897,6.33E-06
2438513,CONFIRMED,1.00485064,0.99838042,1.000016051,0.006470219,1.15E-07
2438517,FALSE POSITIVE,1.000299289,0.999655903,1.000007868,0.000643386,9.68E-09
2439243,CONFIRMED,1.000400813,0.999407112,1.000009529,0.000993701,1.38E-08
2440757,FALSE POSITIVE,1.000318557,0.999405789,0.999981013,0.000912768,8.17E-09
2441151,FALSE POSITIVE,1.000400957,0.999404631,0.999966066,0.000996326,1.66E-08
2441161,FALSE POSITIVE,1.033047543,0.967343453,0.997516427,0.06570409,5.34E-05
2441495,CONFIRMED,1.000126635,0.999840993,0.999999031,0.000285642,1.38E-09
2441728,FALSE POSITIVE,1.000074707,0.999945882,1.000001297,0.000128825,4.83E-10
2442084,FALSE POSITIVE,1.001166772,0.930630368,0.999080585,0.070536404,4.11E-05
2442359,FALSE POSITIVE,1.000174541,0.999651178,1.000001077,0.000523363,2.75E-09
2442448,CONFIRMED,1.000125963,0.999858458,1.000004859,0.000267505,1.76E-09
2444412,CONFIRMED,1.000315636,0.996669226,0.999907821,0.00364641,2.43E-07
2445129,FALSE POSITIVE,1.000266736,0.999626725,1.000001571,0.000640011,8.43E-09
2445134,FALSE POSITIVE,1.000672697,0.961775687,0.998028087,0.038897011,5.67E-05
2445154,FALSE POSITIVE,1.000496439,0.999209159,1.000000946,0.00128728,1.32E-08
2445975,FALSE POSITIVE,1.003296517,0.996846112,0.999876729,0.006450405,1.85E-06
2446113,FALSE POSITIVE,1.000096477,0.999920083,1.00000102,0.000176394,7.51E-10
2446134,FALSE POSITIVE,1.000145735,0.999864165,1.000003622,0.00028157,2.11E-09
2446623,FALSE POSITIVE,1.000320229,0.998770483,1.00001065,0.001549745,1.33E-08
2449053,FALSE POSITIVE,1.00067463,0.999470124,1.000008488,0.001204507,1.30E-08
2449074,FALSE POSITIVE,1.00020918,0.999849058,1.000001379,0.000360122,3.67E-09
2449090,FALSE POSITIVE,1.003043583,0.971827087,0.997314496,0.031216496,3.97E-05
2449101,FALSE POSITIVE,1.007787062,0.953195368,0.999067505,0.054591694,3.75E-05
2450716,FALSE POSITIVE,1.000290584,0.999507683,1.000001134,0.000782901,6.53E-09
2452289,FALSE POSITIVE,1.000135668,0.999879251,1.000000627,0.000256417,1.40E-09
2452440,FALSE POSITIVE,1.004908676,0.976171013,0.999020039,0.028737662,1.51E-05
2452450,FALSE POSITIVE,1.000159772,0.999598208,0.999995526,0.000561565,4.10E-09
2554853,FALSE POSITIVE,1.000162342,0.999844218,1,0.000318125,2.71E-09
2556650,CONFIRMED,1.001218947,0.998812207,1.000013664,0.00240674,4.40E-08
2557430,FALSE POSITIVE,1.000001941,0.995854787,0.99872954,0.004147153,1.10E-06
2557816,CONFIRMED,1.000188683,0.999847924,1.000005459,0.000340758,3.14E-09
2558363,FALSE POSITIVE,1.000459518,0.999576294,1.000013323,0.000883224,2.35E-08
2558370,FALSE POSITIVE,1.014124325,0.946090544,0.993270293,0.068033781,0.000102972
2568971,FALSE POSITIVE,1.002943646,0.997249197,0.999993835,0.005694449,5.47E-07
2569488,FALSE POSITIVE,1.001016788,0.999053176,0.999997828,0.001963612,9.77E-08
2569494,FALSE POSITIVE,1.088406255,0.856867961,0.989366278,0.231538294,0.001916261
2569516,FALSE POSITIVE,1.000063713,0.999937678,1.00000062,0.000126035,3.41E-10
2570432,FALSE POSITIVE,1.001298742,0.998932667,1.000030331,0.002366075,1.25E-07
2570505,FALSE POSITIVE,1.000078774,0.999913983,1.000002901,0.000164791,6.22E-10
2570767,FALSE POSITIVE,1.000071564,0.999939144,1.000000204,0.00013242,4.26E-10
2570773,FALSE POSITIVE,1.003203912,0.997526979,1.000041589,0.005676934,2.53E-07
2571075,FALSE POSITIVE,1.000389334,0.999685919,1.000015545,0.000703415,1.25E-08
2571238,CONFIRMED,1.000041125,0.999817025,0.99999217,0.0002241,1.31E-09
2573056,FALSE POSITIVE,1.000155062,0.999751319,1.00000549,0.000403743,2.88E-09
2573108,FALSE POSITIVE,1.000115469,0.999883162,1.000000036,0.000232308,1.61E-09
2574201,FALSE POSITIVE,1.002255555,0.994813713,1.000001441,0.007441842,1.47E-07
2574338,CONFIRMED,1.000240498,0.999738761,1.000009072,0.000501737,7.40E-09
2574543,FALSE POSITIVE,1.000603933,0.999211278,1.000001988,0.001392654,4.72E-08
2576107,FALSE POSITIVE,1.000343808,0.998779365,1.000005445,0.001564443,1.14E-08
2576197,FALSE POSITIVE,1.000291071,0.999685704,0.999997035,0.000605367,9.58E-09
2576224,FALSE POSITIVE,1.000065258,0.999946731,1.000001331,0.000118527,5.14E-10
2576692,FALSE POSITIVE,1.00308076,0.842817107,0.99797971,0.160263653,0.000226804
2578017,FALSE POSITIVE,1.000651669,0.998792131,0.999999454,0.001859538,2.13E-08
2578811,FALSE POSITIVE,1.012117383,0.997664623,1.000030193,0.014452761,6.08E-07
2580872,FALSE POSITIVE,1.004417149,0.90856053,0.994958452,0.095856619,0.00032704
2581191,FALSE POSITIVE,1.001382333,0.999775339,1.000019009,0.001606994,1.93E-08
2581316,CONFIRMED,1.000090378,0.99182162,0.999954511,0.008268759,2.76E-07
2581554,CONFIRMED,1.00075671,0.989996355,0.999961335,0.010760355,4.06E-07
